10 : 10, data missing, NULL
7 2 1 : 7 2 1, data missing, 0
7 2 1 : 7 1 1 1, data missing, 1
7 2 1 : 6 4, data missing, 0
7 2 1 : 6 3 1, data missing, 0
7 2 1 : 6 2 2, data missing, 1
7 2 1 : 6 2 1 1, data missing, 3
7 2 1 : 6 1 1 1 1, data missing, 5
7 2 1 : 5 5, data missing, 0
7 2 1 : 5 4 1, data missing, 0
7 2 1 : 5 3 2, data missing, 1
7 2 1 : 5 3 1 1, data missing, 3
7 2 1 : 5 2 2 1, data missing, 3
7 2 1 : 5 2 1 1 1, data missing, 5
7 2 1 : 5 1 1 1 1 1, data missing, 7
7 2 1 : 4 4 2, data missing, 1
7 2 1 : 4 4 1 1, data missing, 3
7 2 1 : 4 3 3, data missing, 1
7 2 1 : 4 3 2 1, data missing, 3
7 2 1 : 4 3 1 1 1, data missing, 5
7 2 1 : 4 2 2 2, data missing, 3
7 2 1 : 4 2 2 1 1, data missing, 5
7 2 1 : 4 2 1 1 1 1, data missing, 7
7 2 1 : 4 1 1 1 1 1 1, data missing, 9
7 2 1 : 3 3 3 1, data missing, 3
7 2 1 : 3 3 2 2, data missing, 3
7 2 1 : 3 3 2 1 1, data missing, 5
7 2 1 : 3 3 1 1 1 1, data missing, 7
7 2 1 : 3 2 2 2 1, data missing, 5
7 2 1 : 3 2 2 1 1 1, data missing, 7
7 2 1 : 3 2 1 1 1 1 1, data missing, 9
7 2 1 : 3 1 1 1 1 1 1 1, data missing, 11
7 2 1 : 2 2 2 2 2, data missing, 5
7 2 1 : 2 2 2 2 1 1, data missing, 7
7 2 1 : 2 2 2 1 1 1 1, data missing, 9
7 2 1 : 2 2 1 1 1 1 1 1, data missing, 11
7 2 1 : 2 1 1 1 1 1 1 1 1, data missing, 13
7 1 1 1 : 7 1 1 1, data missing, 0
7 1 1 1 : 6 4, data missing, 0
7 1 1 1 : 6 3 1, data missing, -1
7 1 1 1 : 6 2 2, data missing, 0
7 1 1 1 : 6 2 1 1, data missing, 0
7 1 1 1 : 6 1 1 1 1, data missing, 3
7 1 1 1 : 5 5, data missing, 0
7 1 1 1 : 5 4 1, data missing, -1
7 1 1 1 : 5 3 2, data missing, 0
7 1 1 1 : 5 3 1 1, data missing, 0
7 1 1 1 : 5 2 2 1, data missing, 0
7 1 1 1 : 5 2 1 1 1, data missing, 3
7 1 1 1 : 5 1 1 1 1 1, data missing, 6
7 1 1 1 : 4 4 2, data missing, 0
7 1 1 1 : 4 4 1 1, data missing, 0
7 1 1 1 : 4 3 3, data missing, 0
7 1 1 1 : 4 3 2 1, data missing, 0
7 1 1 1 : 4 3 1 1 1, data missing, 3
7 1 1 1 : 4 2 2 2, data missing, 0
7 1 1 1 : 4 2 2 1 1, data missing, 3
7 1 1 1 : 4 2 1 1 1 1, data missing, 6
7 1 1 1 : 4 1 1 1 1 1 1, data missing, 9
7 1 1 1 : 3 3 3 1, data missing, 0
7 1 1 1 : 3 3 2 2, data missing, 0
7 1 1 1 : 3 3 2 1 1, data missing, 3
7 1 1 1 : 3 3 1 1 1 1, data missing, 6
7 1 1 1 : 3 2 2 2 1, data missing, 3
7 1 1 1 : 3 2 2 1 1 1, data missing, 6
7 1 1 1 : 3 2 1 1 1 1 1, data missing, 9
7 1 1 1 : 3 1 1 1 1 1 1 1, data missing, 12
7 1 1 1 : 2 2 2 2 2, data missing, 3
7 1 1 1 : 2 2 2 2 1 1, data missing, 6
7 1 1 1 : 2 2 2 1 1 1 1, data missing, 9
7 1 1 1 : 2 2 1 1 1 1 1 1, data missing, 12
7 1 1 1 : 2 1 1 1 1 1 1 1 1, data missing, 15
6 4 : 6 4, data missing, 0
6 4 : 6 3 1, data missing, 0
6 4 : 6 2 2, data missing, 0
6 4 : 6 2 1 1, data missing, 0
6 4 : 6 1 1 1 1, data missing, 0
6 4 : 5 5, data missing, 0
6 4 : 5 4 1, data missing, 1
6 4 : 5 3 2, data missing, 1
6 4 : 5 3 1 1, data missing, 2
6 4 : 5 2 2 1, data missing, 2
6 4 : 5 2 1 1 1, data missing, 3
6 4 : 5 1 1 1 1 1, data missing, 4
6 4 : 4 4 2, data missing, 1
6 4 : 4 4 1 1, data missing, 2
6 4 : 4 3 3, data missing, 1
6 4 : 4 3 2 1, data missing, 2
6 4 : 4 3 1 1 1, data missing, 3
6 4 : 4 2 2 2, data missing, 2
6 4 : 4 2 2 1 1, data missing, 3
