9 : 9, Unable to create polyhedron or calculate h*, NULL, time: 0.8121199607849121s
5 2 2 : 5 1 1 1 1, 1, 1, time: 0.20600509643554688s
5 2 2 : 4 4 1, 0, -1, time: 0.012037992477416992s
5 2 2 : 4 3 2, 1, 0, time: 0.08194112777709961s
5 2 2 : 4 3 1 1, 1, 0, time: 0.13109803199768066s
5 2 2 : 4 2 2 1, 1, 2, time: 0.1319890022277832s
5 2 2 : 4 2 1 1 1, 1, 4, time: 0.20509600639343262s
5 2 2 : 4 1 1 1 1 1, 6*x^2 + 3*x + 1, 6, time: 0.32968902587890625s
5 2 2 : 3 3 3, 1, 0, time: 0.08209705352783203s
5 2 2 : 3 3 2 1, 1, 2, time: 0.13059401512145996s
5 2 2 : 3 3 1 1 1, 1, 4, time: 0.2024681568145752s
5 2 2 : 3 2 2 2, 3*x + 1, 2, time: 0.1304168701171875s
5 2 2 : 3 2 2 1 1, x^2 + 4*x + 1, 4, time: 0.19715619087219238s
5 2 2 : 3 2 1 1 1 1, 7*x^3 + 19*x^2 + 9*x + 1, 6, time: 0.30523204803466797s
5 2 2 : 3 1 1 1 1 1 1, x^6 + 21*x^5 + 141*x^4 + 256*x^3 + 141*x^2 + 21*x + 1, 8, time: 0.5700819492340088s
5 2 2 : 2 2 2 2 1, 6*x^2 + 9*x + 1, 4, time: 0.21694397926330566s
5 2 2 : 2 2 2 1 1 1, x^4 + 20*x^3 + 41*x^2 + 16*x + 1, 6, time: 0.3096170425415039s
5 2 2 : 2 2 1 1 1 1 1, x^6 + 31*x^5 + 220*x^4 + 410*x^3 + 220*x^2 + 31*x + 1, 8, time: 0.5282330513000488s
5 2 2 : 2 1 1 1 1 1 1 1, 21*x^7 + 574*x^6 + 3346*x^5 + 6280*x^4 + 4133*x^3 + 923*x^2 + 59*x + 1, 10, time: 2.414715051651001s
5 2 1 1 : 5 2 1 1, 1, 0, time: 0.1319429874420166s
5 2 1 1 : 5 1 1 1 1, 1, 2, time: 0.20619797706604004s
5 2 1 1 : 4 4 1, 0, -1, time: 0.011868000030517578s
5 2 1 1 : 4 3 2, 1, 0, time: 0.08205389976501465s
5 2 1 1 : 4 3 1 1, 1, 0, time: 0.13108301162719727s
5 2 1 1 : 4 2 2 1, 1, 1, time: 0.1317460536956787s
5 2 1 1 : 4 2 1 1 1, 1, 5, time: 0.20576190948486328s
5 2 1 1 : 4 1 1 1 1 1, 6*x^4 + 16*x^3 + 21*x^2 + 6*x + 1, 8, time: 0.32636189460754395s
5 2 1 1 : 3 3 3, 1, 1, time: 0.08877897262573242s
5 2 1 1 : 3 3 2 1, 1, 1, time: 0.14087200164794922s
5 2 1 1 : 3 3 1 1 1, 1, 5, time: 0.20697617530822754s
5 2 1 1 : 3 2 2 2, 1, 2, time: 0.12718605995178223s
5 2 1 1 : 3 2 2 1 1, 3*x + 1, 5, time: 0.20025181770324707s
5 2 1 1 : 3 2 1 1 1 1, x^5 + 15*x^4 + 44*x^3 + 43*x^2 + 12*x + 1, 8, time: 0.31171107292175293s
5 2 1 1 : 3 1 1 1 1 1 1, 15*x^7 + 300*x^6 + 1455*x^5 + 2460*x^4 + 1590*x^3 + 396*x^2 + 33*x + 1, 11, time: 0.5487668514251709s
5 2 1 1 : 2 2 2 2 1, 3*x^2 + 6*x + 1, 5, time: 0.19879508018493652s
5 2 1 1 : 2 2 2 1 1 1, 2*x^5 + 27*x^4 + 80*x^3 + 71*x^2 + 18*x + 1, 8, time: 0.307391881942749s
5 2 1 1 : 2 2 1 1 1 1 1, 16*x^7 + 348*x^6 + 1801*x^5 + 3175*x^4 + 2110*x^3 + 526*x^2 + 43*x + 1, 11, time: 0.5421130657196045s
5 2 1 1 : 2 1 1 1 1 1 1 1, 77*x^9 + 3060*x^8 + 29385*x^7 + 100800*x^6 + 143262*x^5 + 88830*x^4 + 23695*x^3 + 2520*x^2 + 90*x + 1, 14, time: 3.8802249431610107s
5 1 1 1 1 : 5 1 1 1 1, 1, 0, time: 0.23816800117492676s
5 1 1 1 1 : 4 4 1, 0, -1, time: 0.016882896423339844s
5 1 1 1 1 : 4 3 2, 0, -1, time: 0.012870073318481445s
5 1 1 1 1 : 4 3 1 1, 0, -1, time: 0.014796018600463867s
5 1 1 1 1 : 4 2 2 1, 0, -1, time: 0.015176057815551758s
5 1 1 1 1 : 4 2 1 1 1, 1, 0, time: 0.21858000755310059s
5 1 1 1 1 : 4 1 1 1 1 1, 1, 4, time: 0.32395505905151367s
5 1 1 1 1 : 3 3 3, 1, 0, time: 0.08272099494934082s
5 1 1 1 1 : 3 3 2 1, 0, -1, time: 0.013289213180541992s
5 1 1 1 1 : 3 3 1 1 1, 1, 0, time: 0.19952392578125s
5 1 1 1 1 : 3 2 2 2, 1, 0, time: 0.13080501556396484s
5 1 1 1 1 : 3 2 2 1 1, 1, 0, time: 0.198469877243042s
5 1 1 1 1 : 3 2 1 1 1 1, 1, 4, time: 0.3053700923919678s
