10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.6472749710083008s
7 3 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.22219204902648926s
7 3 : 3 2 2 2 1, Dimension too high, 3, time: 0.1423189640045166s
7 3 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.22765207290649414s
7 3 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.3800368309020996s
7 3 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.655580997467041s
7 3 : 2 2 2 2 2, Dimension too high, 3, time: 0.14256501197814941s
7 3 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.225477933883667s
7 3 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.3717329502105713s
7 3 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.6538510322570801s
7 3 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.3518638610839844s
7 2 1 : 7 2 1, Dimension too high, 0, time: 0.06308197975158691s
7 2 1 : 7 1 1 1, Dimension too high, 1, time: 0.10084295272827148s
7 2 1 : 6 4, Dimension too high, 0, time: 0.034173011779785156s
7 2 1 : 6 3 1, Dimension too high, 0, time: 0.059662818908691406s
7 2 1 : 6 2 2, Dimension too high, 1, time: 0.05951809883117676s
7 2 1 : 6 2 1 1, Dimension too high, 3, time: 0.0973050594329834s
7 2 1 : 6 1 1 1 1, Dimension too high, 5, time: 0.1605069637298584s
7 2 1 : 5 5, Dimension too high, 0, time: 0.035698890686035156s
7 2 1 : 5 4 1, Dimension too high, 0, time: 0.06189322471618652s
7 2 1 : 5 3 2, Dimension too high, 1, time: 0.06038999557495117s
7 2 1 : 5 3 1 1, Dimension too high, 3, time: 0.09976601600646973s
7 2 1 : 5 2 2 1, Dimension too high, 3, time: 0.0988459587097168s
7 2 1 : 5 2 1 1 1, Dimension too high, 5, time: 0.1582930088043213s
7 2 1 : 5 1 1 1 1 1, Dimension too high, 7, time: 0.24834895133972168s
7 2 1 : 4 4 2, Dimension too high, 1, time: 0.06009101867675781s
7 2 1 : 4 4 1 1, Dimension too high, 3, time: 0.09698104858398438s
7 2 1 : 4 3 3, Dimension too high, 1, time: 0.058879852294921875s
7 2 1 : 4 3 2 1, Dimension too high, 3, time: 0.09597206115722656s
7 2 1 : 4 3 1 1 1, Dimension too high, 5, time: 0.1504528522491455s
7 2 1 : 4 2 2 2, Dimension too high, 3, time: 0.09603619575500488s
7 2 1 : 4 2 2 1 1, Dimension too high, 5, time: 0.15339303016662598s
7 2 1 : 4 2 1 1 1 1, Dimension too high, 7, time: 0.2487189769744873s
7 2 1 : 4 1 1 1 1 1 1, Dimension too high, 9, time: 0.39636802673339844s
7 2 1 : 3 3 3 1, Dimension too high, 3, time: 0.0962378978729248s
7 2 1 : 3 3 2 2, Dimension too high, 3, time: 0.0953378677368164s
7 2 1 : 3 3 2 1 1, Dimension too high, 5, time: 0.14894700050354004s
7 2 1 : 3 3 1 1 1 1, Dimension too high, 7, time: 0.22733020782470703s
7 2 1 : 3 2 2 2 1, Dimension too high, 5, time: 0.14396405220031738s
7 2 1 : 3 2 2 1 1 1, Dimension too high, 7, time: 0.22871708869934082s
7 2 1 : 3 2 1 1 1 1 1, Dimension too high, 9, time: 0.36728596687316895s
7 2 1 : 3 1 1 1 1 1 1 1, Dimension too high, 11, time: 0.6423311233520508s
7 2 1 : 2 2 2 2 2, Dimension too high, 5, time: 0.1427168846130371s
7 2 1 : 2 2 2 2 1 1, Dimension too high, 7, time: 0.22470903396606445s
7 2 1 : 2 2 2 1 1 1 1, Dimension too high, 9, time: 0.3666539192199707s
7 2 1 : 2 2 1 1 1 1 1 1, Dimension too high, 11, time: 0.6387238502502441s
7 2 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 13, time: 1.1957910060882568s
7 1 1 1 : 7 1 1 1, Dimension too high, 0, time: 0.09217119216918945s
7 1 1 1 : 6 4, Dimension too high, 0, time: 0.03322291374206543s
7 1 1 1 : 6 3 1, Dimension too high, -1, time: 0.00554203987121582s
7 1 1 1 : 6 2 2, Dimension too high, 0, time: 0.05740690231323242s
7 1 1 1 : 6 2 1 1, Dimension too high, 0, time: 0.09275007247924805s
7 1 1 1 : 6 1 1 1 1, Dimension too high, 3, time: 0.14552903175354004s
7 1 1 1 : 5 5, Dimension too high, 0, time: 0.03309011459350586s
7 1 1 1 : 5 4 1, Dimension too high, -1, time: 0.005509138107299805s
7 1 1 1 : 5 3 2, Dimension too high, 0, time: 0.05693387985229492s
7 1 1 1 : 5 3 1 1, Dimension too high, 0, time: 0.09095287322998047s
7 1 1 1 : 5 2 2 1, Dimension too high, 0, time: 0.09096717834472656s
7 1 1 1 : 5 2 1 1 1, Dimension too high, 3, time: 0.1415548324584961s
7 1 1 1 : 5 1 1 1 1 1, Dimension too high, 6, time: 0.2222609519958496s
7 1 1 1 : 4 4 2, Dimension too high, 0, time: 0.05658698081970215s
7 1 1 1 : 4 4 1 1, Dimension too high, 0, time: 0.09134387969970703s
7 1 1 1 : 4 3 3, Dimension too high, 0, time: 0.056401968002319336s
